UNIQUE_ID,2007,2012,2017
NCA_AL-10066,NA,NA,NA
NCA_AL-10067,NA,NA,NA
NCA_AL-10068,NA,NA,NA
NCA_AL-10069,NA,NA,NA
NCA_AL-10070,NA,NA,NA
NCA_AL-10071,NA,NA,NA
NCA_AL-10072,NA,NA,NA
NCA_AL-10073,NA,NA,NA
NCA_AL-10074,NA,NA,NA
NCA_AL-10075,NA,NA,NA
NCA_AL-10076,NA,NA,NA
NCA_AL-10077,NA,NA,NA
NCA_AL-10078,NA,NA,NA
NCA_AL-10079,NA,NA,NA
NCA_AL-10080,NA,NA,NA
NCA_AL-10081,NA,NA,NA
NCA_AL-10082,NA,NA,NA
NCA_AL-10083,NA,NA,NA
NCA_AL-10084,NA,NA,NA
NCA_AL-10085,NA,NA,NA
NCA_AL-10086,NA,NA,NA
NCA_AL-10087,NA,NA,NA
NCA_AL-10088,NA,NA,NA
NCA_AL-10089,NA,NA,NA
NCA_AL-10090,NA,NA,NA
NCA_AL-10091,NA,NA,NA
NCA_AL-10092,NA,NA,NA
NCA_AL-10093,NA,NA,NA
NCA_AL-10094,NA,NA,NA
NCA_AL-10095,NA,NA,NA
NCA_AL-10096,NA,NA,NA
NCA_AL-10097,NA,NA,NA
NCA_AL-10098,NA,NA,NA
NCA_AL-10099,NA,NA,NA
NCA_AL-10100,NA,NA,NA
NCA_AL-10101,NA,NA,NA
NCA_AL-10102,NA,NA,NA
NCA_AL-10103,NA,NA,NA
NCA_AL-10104,NA,NA,NA
NCA_AL-10105,NA,NA,NA
NCA_AL-10106,NA,NA,NA
NCA_AL-10107,NA,NA,NA
NCA_AL-10108,NA,NA,NA
NCA_AL-10109,NA,NA,NA
NCA_AL-10110,NA,NA,NA
NCA_AL-10111,NA,NA,NA
NCA_AL-10112,NA,NA,NA
NCA_AL-10113,NA,NA,NA
NCA_AL-10114,NA,NA,NA
NCA_AL-10115,NA,NA,NA
NCA_AL-10116,NA,NA,NA
NCA_AL-10117,NA,NA,NA
NCA_AL-10118,NA,NA,NA
NCA_AL-10119,NA,NA,NA
NCA_AL-10120,NA,NA,NA
NCA_AL-10121,NA,NA,NA
NCA_AL-10122,NA,NA,NA
NCA_AL-10123,NA,NA,NA
NCA_AL-10124,NA,NA,NA
NCA_AL-10125,NA,NA,NA
NCA_AL-10126,NA,NA,NA
NCA_AL-10127,NA,NA,NA
NCA_AL-10128,NA,NA,NA
NCA_AL-10129,NA,NA,NA
NCA_AL-10130,NA,NA,NA
NCA_AL-10131,NA,NA,NA
NCA_AL-10132,NA,NA,NA
NCA_AL-10133,NA,NA,NA
NCA_AL-10134,NA,NA,NA
NCA_AL-10135,NA,NA,NA
NCA_AL-10136,NA,NA,NA
NCA_AL-10137,NA,NA,NA
NCA_AL-10138,NA,NA,NA
NCA_AL-10139,NA,NA,NA
NCA_AL-10140,NA,NA,NA
NCA_AL-10141,NA,NA,NA
NCA_AL-10142,NA,NA,NA
NCA_AL-10143,NA,NA,NA
